ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL,REL_VIC_VMARIO
2380856,2255621,3124340,1,,1,1,0,0,1985-01-25,40,73,11
301494,384410,1488455,1,,1,1,0,0,1994-01-07,31,73,7
1847397,1693574,"Sin dato",1,,1,1,0,0,1983-02-10,42,73,10
2471105,2345887,3215810,1,,2,2,0,0,1962-03-06,63,73,9
1858244,1704289,"Sin dato",1,,1,1,0,0,1992-02-28,33,73,9
542426,610192,"Sin dato",1,,1,1,0,0,1985-11-04,39,73,9
1858678,1704629,3101539,1,,1,1,0,0,1991-03-03,34,73,9
1858678,1704629,3101539,1,,1,1,0,0,1991-03-03,34,73,1
1858678,1704629,3101539,1,,1,1,0,0,1991-03-03,34,73,7
