id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos
522898,515072,"Robo de motocicleta",Calificado,2,2025-09-21,19:00:00,6,1,4.01.02.02,Michoacán,16,Paracho,65,Ahuirán,160650001,Ahuirán,3962,60264,-102.06497363856,19.665462361364,"5 DE MAYO"
522844,515019,"Narcomenudeo (en su modalidad de comercio o suministro)",Agravado/Calificado,2,2025-09-24,12:30:00,7,1,7.01.02,Michoacán,16,Zitácuaro,112,"Crescencio Morales (San Mateo)",161120001,"Crescencio Morales (San Mateo)",8020,61520,-100.2431082,19.4911858,"LOCALIDAD DE CRESCENCIO MORELES"
522861,515036,"Violencia familiar",Simple,2,2025-09-24,13:00:00,6,1,5.01,Michoacán,16,Morelia,53,Morelia,160530001,"Mirador del Valle",149,58095,-101.1995708,19.7315458,CAHULOTE
523446,515633,"Fraude especifico",Simple,2,2025-01-14,10:00:00,7,1,4.02,Michoacán,16,Tlazazalca,94,Tlazazalca,160940001,"La Jabonera",1632,58743,-102.12291834407,19.975250012506,"predios rústicos denominados “La Jabonera 1” "
522825,514999,"Lesiones dolosas",Simple,1,2025-09-21,03:00:00,6,1,1.02.01,Michoacán,16,Morelia,53,Morelia,160530001,Sindurio,762,58337,-101.2568874,19.6972086,"AVENIDA FRANCISCO I MADERO PTE"
522821,514995,"Ataques al honor",Simple,2,2025-08-09,19:00:00,5,1,7.10,Michoacán,16,Penjamillo,67,"Penjamillo de Degollado",160670001,"Barrio Pueblo Nuevo",2676,59470,-101.49072136965,20.088337336766,"CARRETERA PENJAMILLO - PURUANDIRO"
522830,515004,"Lesiones culposas en accidente de tránsito",Simple,2,2025-09-21,21:00:00,4,1,1.02.02,Michoacán,16,Morelia,53,Morelia,160530001,"Francisco I. Madero",599,58300,-101.2251467,19.7047684,"AVENIDA MADERO PONIENTE"
522958,515134,"Lesiones culposas en accidente de tránsito",Simple,2,2025-09-24,13:00:00,4,1,1.02.02,Michoacán,16,"La Piedad",69,"La Piedad de Cabadas",160690001,"La Peña",11242,59389,-102.0344544,20.3441818,"CALLE MARIANO JIMENEZ ESQUINA CON CALLE LUCIO"
523757,515954,"Homicidio culposo en accidente de tránsito",Simple,2,2025-09-24,15:19:00,4,1,1.01.02,Michoacán,16,Zamora,108,"La Sauceda",161080001,"La Sauceda",3091,59712,-102.34595523348,20.100339175655,"CARR. 15 TRAMO ZAMORA-LA BARCA A LA SALIDA DE"
523352,515537,"Narcomenudeo (en su modalidad de posesión simple)",Simple,2,2025-09-24,14:45:00,3,1,7.01.01,Michoacán,16,Uruapan,102,Uruapan,161020001,"La Mora",3645,60130,-102.0346541,19.4114944,"TULIPAN ESQUINA PROLONGACION MARAVILLAS"
522905,515079,"Violencia familiar",Simple,2,2025-09-24,09:30:00,7,1,5.01,Michoacán,16,Morelia,53,Morelia,160530001,"Colinas del Sur",131,58095,-101.2002923,19.66783,"DEL ARBOL"
522891,515065,"Elaboración, alteración o uso indebido de placas, engomados o documentos de identificación de vehículos automotores",Agravado/Calificado,2,2025-09-24,15:00:00,4,1,7.06,Michoacán,16,Apatzingán,6,"Apatzingán de la Constitución",160060001,"Buenos Aires",4786,60610,-102.35878092597,19.08417662413,"Francisco I. Madero"
