ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
2380856,2255621,"Homicidio calificado con ventaja","Homicidio calificado con ventaja","Sin dato",1,2025-04-03,23:20:00,1,1,1.1.1,Coahuila,5,Frontera,10,Frontera,"Sin dato","Zona Centro","Sin dato",25600,26.93098,-101.45124,"Estación Ferromex ubicada en calle Cuauhtemoc y Avenida Sonora, Zona Centro"
301494,384410,"Homicidio simple doloso","Homicidio simple doloso","Sin dato",1,2025-04-07,07:15:00,1,1,1.1.1,Coahuila,5,Torreón,35,Torreón,"Sin dato","Sin colonia","Sin dato",27344,25.4384407,-103.3385875,"Calle s/nombre S/N Ejido Nuevo Mieleras"
1847397,1693574,"Homicidio simple doloso","Homicidio simple doloso","Sin dato",1,2025-04-13,23:20:00,2,1,1.1.1,Coahuila,5,Saltillo,30,Saltillo,"Sin dato","26 de Marzo","Sin dato",25075,25.41728,-101.007331,"Cid Gonzalez #11 esquina con Periferica Luis Echeverría, Colonia 26 de Marzo"
2471105,2345887,"Homicidio simple doloso y Necrofilia","Homicidio simple doloso","Sin dato",1,2025-04-15,18:15:00,6,1,1.1.1,Coahuila,5,Monclova,18,Monclova,"Sin dato",Hipodromo,"Sin dato",25740,26.54574,-101.24088,"Avenida oriente s/n Col Hipódromo"
1858244,1704289,"Sanciones y Figura Típica de Desaparición de Persona","Sanciones y Figura Típica de Desaparición de Persona","Sin dato",1,2025-04-24,,6,1,1.1.1,Coahuila,5,Saltillo,30,Saltillo,"Sin dato","Ampliación Federico Berrueto Ramón","Sin dato",25096,25.3836824,-100.9746051,"Calle Tecoman 282 Col. Ampliacion Federico Berrueto Ramón"
542426,610192,"Homicidio Calificado","Homicidio Calificado","Sin dato",1,2025-04-28,,2,1,1.1.1,Coahuila,5,"Piedras Negras",25,"Piedras Negras","Sin dato","Mundo Nuevo","Sin dato",27945,28.712456,-100.524128,"Calle Anáhuac No. 304 Col. Mundo Nuevo"
1858678,1704629,"Homicidio simple doloso","Homicidio simple doloso","Sin dato",1,2025-04-28,21:00:00,6,1,1.1.1,Coahuila,5,Saltillo,30,Saltillo,"Sin dato",Independencia,"Sin dato",25140,25.41131,-100.958392,"Calle Vista Alegre esquina con Calle Loma Alta, s/n col. Independencia"
