ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,ID_TEXP,RMEN_DE_HCHOS
2893506,CUA/CUA/CUA/031/096801/25/04-1,2025-04-04,01:50:11,1,HOMICIDIO
2894962,CUA/CUA/CUA/031/097978/25/04-1,2025-04-05,05:19:16,1,HOMICIDIO
2901192,CUA/CUA/CUA/031/103073/25/04-1,2025-04-10,01:36:43,1,HOMICIDIO
2891781,ECA/FHM/FHM/034/095330/25/04-1,2025-04-02,19:54:20,1,HOMICIDIO
2898482,ECA/FHM/FHM/034/100724/25/04-1,2025-04-08,07:49:29,1,HOMICIDIO
2920357,ECA/FHM/FHM/034/118252/25/04-1,2025-04-26,14:06:29,1,HOMICIDIO
