ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
1044,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-17,07:30:00,7,1,4.1.11,TLAXCALA,29,HUEYOTLIPAN,14,HUEYOTLIPAN,1,,,90240,"19.47469292620031,",-98.341970605458,"CARRETERA MÉXICO – VERACRUZ, K.M. 106, S/N, SAN IDELFONSO, MUNICIPIO DE HUEYOTLIPAN TLAXCALA."
1045,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-19,03:30:00,7,1,4.1.2.1,TLAXCALA,29,TETLA,31,"TETLA DE LA SOLIDARIDAD",1,,,90432,"19.439243335949353, ",-98.095877124214,"TETLA DE LA SOLIDARIDAD"
1046,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-19,17:40:00,7,1,4.1.11,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,CENTRO,,90000,"19.321149494908195, ",-98.234486205287,"BOULEVARD GUILLERMO VALLE SIN NÚMERO, COLONIA CENTRO, TLAXCALA COMO REFERENCIA WALMART PLAZA VÉRTICE"
1047,7,"DESAPARICION COMETIDA POR PARTICULARES","DESAPARICION COMETIDA POR PARTICULARES",1,2,2025-05-14,21:30:00,7,1,7.10,TLAXCALA,29,"SAN LUIS TEOLOCHOLCO ",28,TEOLOCHOLCO,1,,,90850,19.24475,-98.18852,"CALLE JOSE MARIA MORELOS, SEGUNDA SECCIÓN, SAN LUIS TEOLOCHOLCO, TLAXCALA"
1048,2,"SECUESTRO ","SECUESTRO ",1,1,2025-05-19,,7,1,2.1.1,TLAXCALA,29,AMAXAC,1,"AMAXAC DE GUERRERO",1,,,90620,"19.35313939755034, ",-98.164957385477,"AMAXAC DE GUERRERO"
1049,4,"ROBO TRANSEUNTE","ROBO TRANSEUNTE",1,1,2025-05-19,16:30:00,2,1,4.1.5,TLAXCALA,29,CALPULALPAN,6,CALPULALPAN,1,"FRANCISCO SARABIA",,90200,"19.58923672323901, ",-98.580012661105,"CALLE MÉXICO, COLONIA FRANCISCO SARABIA, MUNICIPIO DE CALPULALPAN, TLAXCALA."
1050,4,"ROBO TRANSEUNTE","ROBO TRANSEUNTE",1,1,2025-05-20,16:15:00,1,1,4.1.5,TLAXCALA,29,CALPULALPAN,6,CALPULALPAN,1,MIRADOR,,90200,"19.587425609326644, ",-98.56511652062,"CALLE 01 NORTE, SIN NÚMERO, COLONIA EL MIRADOR, MUNICIPIO DE CALPULALPAN, TLAXCALA."
1051,4,"ROBO COMERCIO","ROBO COMERCIO",1,1,2025-05-19,18:40:00,1,1,4.1.11,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,"LA CONCHA",,90800,"19.312565569325695, ",-98.191329499868,"CALLE FERROCARRIL SUR E ITURBIDE ORIENTE, NÚMERO 73, BARRIO LA CONCHA, CHIAUTEMPAN, TLAXCALA"
1052,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-13,12:00:00,7,1,4.1.1,TLAXCALA,29,HUAMANTLA,13,HUAMANTLA,1,,,90500,"19.3162629669941,",-97.923490763215,"HUAMANTLA, TLAXCALA"
1053,5,"INCUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","INCUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA",1,2,2025-03-19,,7,1,5.3,TLAXCALA,29,PANOTLA,24,PANOTLA,1,,,90140,"19.31235304127823, ",-98.272757999597,"PANOTLA TLAXCALA"
1054,7,COHECHO,COHECHO,1,2,2025-05-20,11:20:00,7,1,7.10,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,,,90000,"19.293016208585776, ",-98.249219744706,"CARRETERA TEXOLOC TLAXCALA SIN NÚMERO, COLONIA UNITLAX, TLAXCALA"
1055,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-19,,7,1,4.1.2.1,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,,,90000,"19.314033172864292, ",-98.238897400971,TLAXCALA
1056,4,"ROBO VEHICULO","ROBO VEHICULO",1,1,2025-05-20,23:30:00,1,1,4.1.2.1,TLAXCALA,29,NOPALUCAN,56,NOPALUCAN,1,,,90120,"19.29520260573756, ",-98.328601947618,"CARRETERA SAN MIGUEL DEL MILAGRO, NOPALUCAN, A LA ALTURA DEL NIÑO DEL CERRITO, TLAXCALA,"
1057,4,"ROBO TRANSEUNTE","ROBO TRANSEUNTE",1,1,2025-05-21,03:30:00,1,1,4.1.5,TLAXCALA,29,TETLATLAHUCA,32,"SAN ANDRES CUAMILPA",2,,,90730,"19.263072968729638, ",-98.264060955227,"AUTOPISTA PUEBLA TLAXCALA, A LA ALTURA DE SAN ANDRES CUAMILPA"
1058,4,"ROBO TRANSEUNTE","ROBO TRANSEUNTE",1,1,2025-05-12,13:50:00,1,1,4.1.5,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,,,90000,"19.314033172864292, ",-98.238897400971,"TLAXCALA, TLAX "
1059,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-22,15:50:00,7,1,7.1.1,TLAXCALA,29,AMAXAC,1,"AMAXAC DE GUERRERO",1,,,90620,"19.351245258700775,",-98.168902381425,"CALLE MIGUEL HIDALGO, SECCIÓN SEGUNDA DEL MUNICIPIO DE AMAXAC DE GUERRERO"
1060,4,EXTORSION,EXTORSION,1,1,2025-05-21,,1,1,4.4.2,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,,,90606,19.35213,-98.19092,APETATITLAN
1061,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-22,15:55:00,7,1,7.1.1,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,"LA LOMA",,90606,19.35213,-98.19092,"COLONIA LA LOMA, SAN PABLO APETATITLÁN DE ANTONIO CARVAJAL, TLAXCALA"
1062,1,HOMICIDIO,HOMICIDIO,1,1,2025-05-22,,2,1,1.1.1,TLAXCALA,29,CALPULALPAN,6,CALPULALPAN,1,"LOS VOLCANES",,90203,19.57106,-9856898,"CALLE RÍO ATOYAC, NÚMERO 18, FRACCIONAMIENTO RÍOS, COLONIA LOS VOLCANES, CALPULALPAN"
1063,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-21,15:15:00,7,1,4.1.1,TLAXCALA,29,CHIAUTEMPAN,10,"GUADALUPE IXCOTLA",35,,,90810,"19.317652410116825, ",-98.171037667678,"PROLONGACIÓN CUAUHTÉMOC 76, GUADALUPE IXCOTLA, CHIAUTEMPAN, TLAXCALA"
1064,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-17,22:00:00,7,1,4.1.1,TLAXCALA,29,NANACAMILPA,21,"NANACAMILPA ",1,,,90280,"19.491082933968638, ",-98.536408105283,"CALLE MATAMOROS NÚMERO 30, BARRIO FRANCISCO VILLA, NANACAMILPA DE MARIANO ARISTA, TLAXCALA."
1065,4,"ROBO CASA HABITACION ","ROBO CASA HABITACION ",1,2,2025-05-21,16:42:00,7,1,"4.1.1 ",TLAXCALA,29,PANOTLA,24,"JESÚS ACATITLA",4,,,90140,"19.326697418021674, ",-98.301345122735,"CALLE INDEPENDENCIA SUR, NÚMERO 26, COMUNIDAD JESÚS ACATITLA, PANOTLA, TLAXCALA"
1066,4,"ROBO VEHICULO","ROBO VEHICULO",1,1,2025-05-21,22:30:00,1,1,4.1.2.1,TLAXCALA,29,TLAXCALA,33,"SAN ESTEBAN TIZATLAN",11,,,90000,19.3384208,-98.20985,"AVENIDA JUÁREZ, TIZATLÁN TLAXCALA"
