ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,ID_TEXP,RMEN_DE_HCHOS
2380856,00197/FRO/UAI/2025,2025-04-03,00:49:43,1,"Se reporta una persona del sexo masculino sin vida en la estación Ferromex ubicada en la calle Cuauhtemoc y Avenida Sonora de la Zona Centro, quien se encontraba tirado en el piso, dentro de los patios entre los vagones, y presentaba heridas producidas por proyectil de arma de fuego."
301494,01191/TOR/UATD/2025,2025-04-07,12:36:28,1,"Se reporta una persona de sexo masculino sin vida en el Ejido Nuevo Mieleras, quien presentaba herida producida por proyectil de arma de fuego en el muslo derecho, se tiene conocimiento que elementos de seguridad, al estar realizando una diligencia de desalojo en dicho ejido, realizan detonaciones de arma de fuego en la que el occiso resulta lesionado."
1847397,0003/SAL/ULCV/2025,2025-04-14,10:19:41,1,"Se reporta una persona del sexo masculino sin vida en una taquería denominada ""Don Pablo"", ubicada en la calle Cid Gonzalez No. 11 esquina con Periferica Luis Echeverría de la colonia 26 de Marzo, quien presentaba herida producida por proyectil de arma blanca, se tiene conocimiento que la víctima llega a la taquería y los taqueros lo agreden con un bate y lo hieren con un cuchillo."
2471105,00825/MON/UAI/2025,2025-04-15,21:31:53,1,"Se reporta una persona del sexo femnino sin vida en el interior del domicilio ubicado en la  Avenida Oriente 713 de la colonia Hipódromo, quien presentaba traumatismo craneoencefálico severo y profundo, se tiene conocimiento que la víctima se encontraba en el lugar con dos sujetos, y uno de ellos la golpea con objeto contusoen la cabeza, el otro sujeto encuentra al imputado encima de la víctima colocando sus genitales en contra de los de la víctima, ejecutando un acto erótico al cuerpo sin vida de la víctima."
1858244,00023/SAL/ATPDT/2025,2025-04-25,10:56:28,1,"Por medio de un cateo, se ingresa al domicilio ubicado en la calle Tecoman 282 de la colonia Ampliación Federico Berrueto Ramon, y como resultado se localiza el cuerpo de una persona del sexo masculino, quien se encontraba desaparecido desde el dia 21 de abril de 2025 y quien presentaba asfixia por estrangulamiento."
542426,0011/PIN/ULPIN/2025,2025-04-28,17:26:26,1,"Se reporta una persona sel sexo masculino sin vida en el interior del domicilio ubicado en la calle Anáhuac numero 304 de la colonia Mundo Nuevo, quien presentaba herida punzocortante en hígado, se tiene conocimiento que el hoy occiso fue localizado por su hermano, quien refiere haber encontrado vidrios rotos en la entrada principal del domicilio."
1858678,0004/SAL/ULCV/2024,2025-04-29,10:49:44,1,"Se reporta una persona del sexo masculino sin vida en el interior del domicilio ubicado en la calle Vista Alegre esquina con calle Loma Alta de la colonia Independencia, quien presentaba  traumatismo craneoencefálico, se tiene conocimiento que el hoy occiso fue agredido por la ex pareja de su mujer en una pela, quien lo golpea con una tabla en la cabeza."
