ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
1336,4,"DESAPARICION FORZADA",1,1,2025-07-01,,7,1,2.08.01,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,,,90606,-98.200006131161,19.340392122229,"CARR. PUEBLA-APIZACO 3, TLATEMPA, 90600 APETATITLÁN, TLAX.,MEXICO, EN LA PLAZA COMERCIAL DENOMINADA GRAN PATIO EN LA  TIENDA DENOMINADA SAM´S CLUB"
1336,5,"DESAPARICION FORZADA",1,1,2025-07-01,,7,1,2.08.03,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,,,90606,-98.200006131161,19.340392122229,"CARR. PUEBLA-APIZACO 3, TLATEMPA, 90600 APETATITLÁN, TLAX.,MEXICO, EN LA PLAZA COMERCIAL DENOMINADA GRAN PATIO EN LA  TIENDA DENOMINADA SAM´S CLUB"
1336,6,"DESAPARICION FORZADA",1,1,2025-07-01,,7,1,2.08.04,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,,,90606,-98.200006131161,19.340392122229,"CARR. PUEBLA-APIZACO 3, TLATEMPA, 90600 APETATITLÁN, TLAX.,MEXICO, EN LA PLAZA COMERCIAL DENOMINADA GRAN PATIO EN LA  TIENDA DENOMINADA SAM´S CLUB"
